repo_size,repo_name,command_name,command_kind,command,mode,mean_ms,median_ms,stdev_ms,min_ms,max_ms,speedup_vs_git,skipped
sm,walkdir,status_short,read,status --short,git,7.157437625,7.0625625,0.27518659917794874,6.943708,7.728542,1.0,
sm,walkdir,status_short,read,status --short,sley_cli,4.306926875,4.3065204999999995,0.0499247898641761,4.23425,4.375917,1.6618433125823617,
sm,walkdir,status_short,read,status --short,sley_harness,0.42064075,0.41631300000000004,0.013704912964230856,0.406791,0.449875,17.01555929852255,
sm,walkdir,log_oneline_100,read,log --oneline -100,git,7.346713375,7.2144165000000005,0.25529842705739914,7.1105,7.813167,1.0,
sm,walkdir,log_oneline_100,read,log --oneline -100,sley_cli,5.081073,5.0170625,0.26056596953828887,4.762291,5.544541,1.4458980170133355,
sm,walkdir,log_oneline_100,read,log --oneline -100,sley_harness,0.9307135,0.9281874999999999,0.014506661829262133,0.91425,0.954625,7.893635769761587,
sm,walkdir,branch_list,read,branch --list,git,6.465729125,6.431208,0.12438949327752445,6.304583,6.688334,1.0,
sm,walkdir,branch_list,read,branch --list,sley_cli,3.830974,3.7732085,0.17324468883551455,3.730667,4.255292,1.6877507195298116,
sm,walkdir,branch_list,read,branch --list,sley_harness,0.100458375,0.099375,0.004737380075753142,0.095792,0.109,64.36227069171684,
sm,walkdir,tag_list,read,tag --list,git,6.386302125,6.3654585,0.08698086732057382,6.304458,6.5595,1.0,
sm,walkdir,tag_list,read,tag --list,sley_cli,4.411719,3.962979,0.9792727574609348,3.64875,6.510084,1.4475768118957715,
sm,walkdir,tag_list,read,tag --list,sley_harness,0.23375,0.25925,0.12396464812310691,0.078291,0.396875,27.32107860962567,
sm,walkdir,rev_parse_short_head,read,rev-parse --short HEAD,git,8.572036375,9.056042000000001,1.3827294127252125,6.84575,10.173916,1.0,
sm,walkdir,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,5.521526125,4.836063,1.6895843918086937,4.506792,9.525333,1.5524759243985284,
sm,walkdir,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,0.137666625,0.13283299999999998,0.01909406186628638,0.124167,0.183292,62.266626896678844,
sm,walkdir,branch_force_write,write,branch -f sley-bench-write HEAD,git,7.79132825,7.800021,0.5005576447984931,7.150125,8.480375,1.0,
sm,walkdir,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,4.96749475,4.8299375,0.36004400185562635,4.660167,5.641917,1.5684623018474253,
sm,walkdir,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,0.4242655,0.4022915,0.04232099610966507,0.389625,0.515208,18.364274846764584,
sm,walkdir,tag_force_write,write,tag -f sley-bench-write HEAD,git,7.7299690000000005,7.6110005,0.335277625871456,7.401334,8.374166,1.0,
sm,walkdir,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,4.757177,4.735979,0.247921399076977,4.372791,5.14675,1.6249067461647948,
sm,walkdir,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,0.355203,0.3521455,0.011786328399584713,0.342,0.378959,21.762116310954582,
md,ripgrep,status_short,read,status --short,git,9.176156125,9.023729,0.5625734249750206,8.661875,10.203958,1.0,
md,ripgrep,status_short,read,status --short,sley_cli,6.479791625,6.5292505,0.32272484585963485,5.950417,6.965416,1.4161190137036237,
md,ripgrep,status_short,read,status --short,sley_harness,1.695010875,1.651313,0.17281547270793746,1.553834,2.062209,5.413626697232843,
md,ripgrep,log_oneline_100,read,log --oneline -100,git,8.06887,7.9808335,0.19684246562960633,7.912292,8.485292,1.0,
md,ripgrep,log_oneline_100,read,log --oneline -100,sley_cli,5.250932125,5.278771,0.13601447594117888,5.031792,5.441208,1.5366547896484188,
md,ripgrep,log_oneline_100,read,log --oneline -100,sley_harness,1.0390885,1.0135,0.05307522618214372,0.99775,1.146792,7.765334714030614,
md,ripgrep,branch_list,read,branch --list,git,6.924062375,6.913854,0.30982155726064436,6.527625,7.516792,1.0,
md,ripgrep,branch_list,read,branch --list,sley_cli,6.092047125,6.3257295,1.2868297511590743,4.069042,7.753083,1.1365740009767242,
md,ripgrep,branch_list,read,branch --list,sley_harness,0.15694787500000001,0.1566455,0.004091061945178254,0.150291,0.163292,44.116955231155565,
md,ripgrep,tag_list,read,tag --list,git,12.145176875,11.5007915,3.9989302533694624,7.554833,17.911083,1.0,
md,ripgrep,tag_list,read,tag --list,sley_cli,4.7988177499999995,4.851146,0.14510911022867293,4.585917,4.983125,2.5308685404858315,
md,ripgrep,tag_list,read,tag --list,sley_harness,0.12718725,0.126292,0.006585172147657623,0.120708,0.138708,95.4905218486916,
md,ripgrep,rev_parse_short_head,read,rev-parse --short HEAD,git,7.030338625,6.86475,0.48395452272854195,6.44975,7.816459,1.0,
md,ripgrep,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,4.465036375,4.4734165,0.20340712055448756,4.174792,4.727958,1.5745310977449762,
