repo_size,repo_name,command_name,command_kind,command,mode,mean_ms,median_ms,stdev_ms,min_ms,max_ms,speedup_vs_git,skipped
lg,git,status_short,read,status --short,git,20.164817875,20.186729,0.49483409732135347,19.641042,21.178167,1.0,
lg,git,status_short,read,status --short,sley_cli,19.547557375,19.542854499999997,0.27988455988697325,19.160917,20.011667,1.0315773724644204,
lg,git,status_short,read,status --short,sley_harness,12.748802375,12.6891045,1.3493195053492641,11.143083,15.321167,1.581702914662994,
lg,git,log_oneline_100,read,log --oneline -100,git,9.2871615,9.2596665,0.3399095620842193,8.891917,9.778666,1.0,
lg,git,log_oneline_100,read,log --oneline -100,sley_cli,6.277307375,6.2536255,0.10309899972348006,6.126416,6.468667,1.4794817180670556,
lg,git,log_oneline_100,read,log --oneline -100,sley_harness,1.688468625,1.6761245,0.03226953447775031,1.661333,1.742083,5.500345912557303,
lg,git,branch_list,read,branch --list,git,7.195208375,7.1445,0.24077662133422556,6.911625,7.591292,1.0,
lg,git,branch_list,read,branch --list,sley_cli,4.401468875,4.3786875,0.08128051949432824,4.329292,4.577625,1.6347289005877612,
lg,git,branch_list,read,branch --list,sley_harness,0.2690415,0.267625,0.004835923371719491,0.264291,0.277375,26.743860612582075,
lg,git,tag_list,read,tag --list,git,7.5171875,7.5181249999999995,0.14464436898920652,7.354417,7.715333,1.0,
lg,git,tag_list,read,tag --list,sley_cli,5.456978875,5.4855,0.15652218970889673,5.242833,5.731041,1.3775364853322802,
lg,git,tag_list,read,tag --list,sley_harness,0.282557125,0.28258300000000003,0.0033861568792237402,0.277667,0.286583,26.604133588915868,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,git,7.117239375,7.043458,0.2750979957038362,6.760583,7.543291,1.0,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,4.552562375,4.5146045,0.17577939172069193,4.353833,4.834708,1.5633480200257552,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,0.12847925,0.125709,0.008085100454363125,0.121375,0.14525,55.39602212030348,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,git,7.68658875,7.4891665,0.40492367063462015,7.341,8.484709,1.0,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,5.563078125,5.553812499999999,0.06292148097984056,5.485375,5.665375,1.3817150464698895,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,1.0334845,1.0209375,0.044708462203160465,0.975667,1.1035,7.437546233155892,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,git,7.774036375,8.020624999999999,0.4944941050591684,7.126708,8.315875,1.0,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,7.35987475,7.8393335,1.2078572031094392,5.933958,8.929083,1.0562729175520276,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,1.064525875,1.0201875,0.0901770826595213,1.004208,1.270417,7.302815795811445,
