repo_size,repo_name,command_name,command_kind,command,mode,mean_ms,median_ms,stdev_ms,min_ms,max_ms,speedup_vs_git,skipped
lg,git,status_short,read,status --short,git,21.418078,21.332104,0.2726786860878047,21.068375,21.837167,1.0,
lg,git,status_short,read,status --short,sley_cli,23.858354,23.918478999999998,0.5455471013193999,23.17025,24.859208,0.8977181745228527,
lg,git,status_short,read,status --short,sley_harness,,,,,,,
lg,git,log_oneline_100,read,log --oneline -100,git,9.9568595,9.964,0.27929794541109154,9.604584,10.323125,1.0,
lg,git,log_oneline_100,read,log --oneline -100,sley_cli,5.96658325,5.838666999999999,0.39963836919779283,5.577666,6.574458,1.668770732395295,
lg,git,log_oneline_100,read,log --oneline -100,sley_harness,,,,,,,
lg,git,branch_list,read,branch --list,git,6.978223875,6.921583,0.25609065116669555,6.619625,7.41275,1.0,
lg,git,branch_list,read,branch --list,sley_cli,4.282708375,4.2319375,0.2376476668341106,4.037,4.753042,1.6293950612502304,
lg,git,branch_list,read,branch --list,sley_harness,,,,,,,
lg,git,tag_list,read,tag --list,git,7.14338025,7.0790415,0.25464809151889267,6.8635,7.460125,1.0,
lg,git,tag_list,read,tag --list,sley_cli,5.1476355,5.0639795,0.20526093309736285,4.972459,5.589959,1.3877012562369655,
lg,git,tag_list,read,tag --list,sley_harness,,,,,,,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,git,6.6477085,6.429521,0.41636608151172505,6.281333,7.264167,1.0,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,3.89594775,3.8932915,0.07984077937235907,3.8135,4.046583,1.7063135664486262,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,,,,,,,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,git,8.3261095,8.293604,0.4137562669325987,7.838834,9.065375,1.0,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,5.122552125,5.0960835,0.18644535114185795,4.930125,5.519042,1.6253830701625118,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,,,,,,,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,git,8.262843625,8.288666500000001,0.27516363693157336,7.881458,8.691416,1.0,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,5.046760375,4.9348335,0.2749274775733398,4.808,5.600542,1.6372569749757537,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,,,,,,,
