repo_size,repo_name,command_name,command_kind,command,mode,mean_ms,median_ms,stdev_ms,min_ms,max_ms,speedup_vs_git,skipped
lg,git,status_short,read,status --short,git,20.89124475,20.842083,0.33853231865246536,20.388167,21.480417,1.0,
lg,git,status_short,read,status --short,sley_cli,23.56913025,23.607729499999998,0.2987490331100912,23.0585,23.943834,0.88638165805885,
lg,git,status_short,read,status --short,sley_harness,16.0145105,15.4783545,2.0931432387350575,14.424625,21.058042,1.304519719787876,
lg,git,log_oneline_100,read,log --oneline -100,git,9.996698,9.945145499999999,0.5193372759887624,9.340417,10.634291,1.0,
lg,git,log_oneline_100,read,log --oneline -100,sley_cli,6.06382825,5.946521000000001,0.2724866405573204,5.857041,6.559167,1.6485786845958244,
lg,git,log_oneline_100,read,log --oneline -100,sley_harness,1.7247655,1.6924165,0.1352946635659684,1.60175,1.923917,5.79597516300042,
lg,git,branch_list,read,branch --list,git,6.49918225,6.530271,0.10740443218940542,6.325625,6.633375,1.0,
lg,git,branch_list,read,branch --list,sley_cli,4.0445625,4.0517085,0.04019503987167718,3.988,4.108209,1.6068937616862147,
lg,git,branch_list,read,branch --list,sley_harness,0.26189575,0.2580625,0.011848002143218666,0.252958,0.289,24.815913393019933,
lg,git,tag_list,read,tag --list,git,6.90402075,6.8400625,0.2076004421181295,6.735459,7.391583,1.0,
lg,git,tag_list,read,tag --list,sley_cli,4.977244875,4.9717085,0.02357852281473548,4.946291,5.010416,1.3871169539352832,
lg,git,tag_list,read,tag --list,sley_harness,0.270828125,0.270021,0.005061342267973144,0.264916,0.278666,25.49225915882998,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,git,6.2351925,6.245729000000001,0.06305046162966847,6.120041,6.321167,1.0,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,3.78565125,3.792896,0.048341868297574135,3.703458,3.855417,1.6470594062250188,
lg,git,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,0.118375125,0.1169795,0.004883848524546423,0.114,0.128584,52.67316507585525,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,git,7.797073125,7.7807715,0.059628906715828836,7.722542,7.877917,1.0,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,5.425651,5.429187499999999,0.12240967406564378,5.265583,5.611917,1.437076053177766,
lg,git,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,0.9383905,0.933,0.019205508815367086,0.915791,0.967708,8.30898557157175,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,git,8.117906249999999,8.097207999999998,0.11722442279996839,7.975917,8.30725,1.0,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,7.30420825,5.9306875,3.1581920562277284,5.081208,14.390042,1.1114012596779397,
lg,git,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,1.33132825,1.051208,0.7461617236508737,0.988042,3.162417,6.097599333597855,
