repo_size,repo_name,command_name,command_kind,command,mode,mean_ms,median_ms,stdev_ms,min_ms,max_ms,speedup_vs_git,skipped
sm,walkdir,status_short,read,status --short,git,7.419062375,7.2735205,0.4583088111861251,7.00525,8.456334,1.0,
sm,walkdir,status_short,read,status --short,sley_cli,5.05067175,5.0585415000000005,0.4355798525150945,4.50225,5.774083,1.468925866148399,
sm,walkdir,status_short,read,status --short,sley_harness,0.44137,0.43908349999999996,0.009837359213006006,0.427833,0.458875,16.80916776174185,
sm,walkdir,log_oneline_100,read,log --oneline -100,git,8.46479175,8.4022915,0.6981615558306892,7.660958,9.603208,1.0,
sm,walkdir,log_oneline_100,read,log --oneline -100,sley_cli,5.45602075,5.395,0.27193313630940885,5.135833,5.869125,1.5514588631284072,
sm,walkdir,log_oneline_100,read,log --oneline -100,sley_harness,0.92345325,0.921792,0.012558354279693085,0.908375,0.941292,9.166454013779257,
sm,walkdir,branch_list,read,branch --list,git,8.041073125,7.57175,1.024258716532587,6.979667,9.552708,1.0,
sm,walkdir,branch_list,read,branch --list,sley_cli,5.401547,5.1395,0.8566520946563679,4.502125,6.837458,1.488661141891388,
sm,walkdir,branch_list,read,branch --list,sley_harness,0.12339562500000001,0.1170205,0.0159904276359997,0.106916,0.148291,65.16497748603324,
sm,walkdir,tag_list,read,tag --list,git,10.329422000000001,8.926229,4.717223397655266,6.878417,21.003084,1.0,
sm,walkdir,tag_list,read,tag --list,sley_cli,4.3183645,4.1919375,0.2809900761557245,4.065375,4.780834,2.3919754805320395,
sm,walkdir,tag_list,read,tag --list,sley_harness,0.08247399999999999,0.08339550000000001,0.006516190714564102,0.074167,0.091625,125.244586172612,
sm,walkdir,rev_parse_short_head,read,rev-parse --short HEAD,git,7.06491675,7.1322085,0.26654631657757233,6.712042,7.456791,1.0,
sm,walkdir,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,4.362088625,4.319542,0.23017912517114486,4.044042,4.706958,1.6196178843110964,
sm,walkdir,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,0.128057125,0.127,0.006510083967803888,0.121166,0.1395,55.170040323800805,
sm,walkdir,branch_force_write,write,branch -f sley-bench-write HEAD,git,7.096208375,7.072667,0.1902510257993276,6.772667,7.421583,1.0,
sm,walkdir,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,4.92075525,4.893938,0.3164693929672687,4.515334,5.367041,1.4420974046616115,
sm,walkdir,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,0.39436974999999996,0.393875,0.008889183631968528,0.384333,0.408875,17.993794846080363,
sm,walkdir,tag_force_write,write,tag -f sley-bench-write HEAD,git,7.531948,7.595667,0.24135012193551034,7.214208,7.804375,1.0,
sm,walkdir,tag_force_write,write,tag -f sley-bench-write HEAD,sley_cli,4.668484125,4.5650414999999995,0.3421123385416122,4.311166,5.357583,1.6133605252432983,
sm,walkdir,tag_force_write,write,tag -f sley-bench-write HEAD,sley_harness,0.365182375,0.36043749999999997,0.013472609259822582,0.353334,0.395208,20.625168451790696,
md,ripgrep,status_short,read,status --short,git,9.061864625,8.9206875,0.45289249498306133,8.537042,9.671292,1.0,
md,ripgrep,status_short,read,status --short,sley_cli,6.4420209999999996,6.329271,0.4207372375859173,5.956084,7.112042,1.4066803919142767,
md,ripgrep,status_short,read,status --short,sley_harness,1.654625125,1.620771,0.07664547590308715,1.592666,1.809667,5.476687430936963,
md,ripgrep,log_oneline_100,read,log --oneline -100,git,8.0791875,8.133354,0.36334867406469434,7.41025,8.444542,1.0,
md,ripgrep,log_oneline_100,read,log --oneline -100,sley_cli,7.265520875,7.1942085,0.39278914139938714,6.8925,8.110833,1.1119901296822026,
md,ripgrep,log_oneline_100,read,log --oneline -100,sley_harness,1.386760375,1.172416,0.5199398777746017,1.087584,2.6285,5.825943433089512,
md,ripgrep,branch_list,read,branch --list,git,9.47051575,9.527021,0.31692235843848937,8.933167,9.892334,1.0,
md,ripgrep,branch_list,read,branch --list,sley_cli,8.078671875,4.806395500000001,7.55550014197261,4.499292,26.194334,1.172286224336844,
md,ripgrep,branch_list,read,branch --list,sley_harness,0.14750525,0.14500049999999998,0.0072285906105053225,0.140708,0.160375,64.20460119216096,
md,ripgrep,tag_list,read,tag --list,git,7.416968625,7.2880625000000006,0.3725947539788419,6.836542,7.985666,1.0,
md,ripgrep,tag_list,read,tag --list,sley_cli,4.590609375,4.5382085,0.2331453010500027,4.346833,5.024958,1.6156828035493656,
md,ripgrep,tag_list,read,tag --list,sley_harness,0.132598875,0.1287705,0.010668610492434602,0.121708,0.148375,55.93538123909422,
md,ripgrep,rev_parse_short_head,read,rev-parse --short HEAD,git,6.917239625,6.921271,0.28285532618583714,6.561875,7.376459,1.0,
md,ripgrep,rev_parse_short_head,read,rev-parse --short HEAD,sley_cli,4.51668225,4.513208499999999,0.14796628436210912,4.337083,4.791916,1.5314868839843672,
md,ripgrep,rev_parse_short_head,read,rev-parse --short HEAD,sley_harness,0.1257395,0.125083,0.006274739061165359,0.119125,0.137917,55.012463267310586,
md,ripgrep,branch_force_write,write,branch -f sley-bench-write HEAD,git,7.772953125,7.8309585,0.28219669597156505,7.168583,8.098084,1.0,
md,ripgrep,branch_force_write,write,branch -f sley-bench-write HEAD,sley_cli,5.188125125,5.1324369999999995,0.2531758390455352,4.953625,5.611709,1.4982200578672435,
md,ripgrep,branch_force_write,write,branch -f sley-bench-write HEAD,sley_harness,0.625693,0.6250835,0.07492962928355795,0.545,0.764292,12.422950432560375,
md,ripgrep,tag_force_write,write,tag -f sley-bench-write HEAD,git,8.1739895,8.0695415,0.3039495775415955,7.792291,8.65625,1.0,
