label,script,command,result,elapsed_ms,ok,notok,total,plan_total
matrix-20260722-oracle-d65a513c-wave-1,t0000-basic.sh,t0000-basic.sh,PASS,17588,92,0,92,92
matrix-20260722-oracle-d65a513c-wave-1,t0008-ignores.sh,t0008-ignores.sh,PASS,9643,398,0,398,398
matrix-20260722-oracle-d65a513c-wave-1,t0019-json-writer.sh,t0019-json-writer.sh,PASS,674,16,0,16,16
matrix-20260722-oracle-d65a513c-wave-1,t0027-auto-crlf.sh,t0027-auto-crlf.sh,PASS,53915,2600,0,2600,2600
matrix-20260722-oracle-d65a513c-wave-1,t0040-parse-options.sh,t0040-parse-options.sh,PASS,1538,94,0,94,94
matrix-20260722-oracle-d65a513c-wave-1,t0061-run-command.sh,t0061-run-command.sh,PASS,1552,24,0,24,24
matrix-20260722-oracle-d65a513c-wave-1,t0081-find-pack.sh,t0081-find-pack.sh,PASS,855,4,0,4,4
matrix-20260722-oracle-d65a513c-wave-1,t0201-gettext-fallbacks.sh,t0201-gettext-fallbacks.sh,PASS,448,8,0,8,8
matrix-20260722-oracle-d65a513c-wave-1,t0300-credentials.sh,t0300-credentials.sh,PASS,5209,56,0,56,56
matrix-20260722-oracle-d65a513c-wave-1,t0600-reffiles-backend.sh,t0600-reffiles-backend.sh,PASS,4268,33,0,33,33
matrix-20260722-oracle-d65a513c-wave-1,t1000-read-tree-m-3way.sh,t1000-read-tree-m-3way.sh,PASS,3880,83,0,83,83
matrix-20260722-oracle-d65a513c-wave-1,t1008-read-tree-overlay.sh,t1008-read-tree-overlay.sh,PASS,553,2,0,2,2
matrix-20260722-oracle-d65a513c-wave-1,t1016-compatObjectFormat.sh,t1016-compatObjectFormat.sh,PASS,4157,202,0,202,202
matrix-20260722-oracle-d65a513c-wave-1,t1092-sparse-checkout-compatibility.sh,t1092-sparse-checkout-compatibility.sh,PASS,157208,109,2,111,111
matrix-20260722-oracle-d65a513c-wave-1,t1306-xdg-files.sh,t1306-xdg-files.sh,PASS,709,21,0,21,21
matrix-20260722-oracle-d65a513c-wave-1,t1401-symbolic-ref.sh,symbolic-ref,PASS,1879,25,0,25,25
matrix-20260722-oracle-d65a513c-wave-1,t1409-avoid-packing-refs.sh,t1409-avoid-packing-refs.sh,PASS,836,11,0,11,11
matrix-20260722-oracle-d65a513c-wave-1,t1417-reflog-updateref.sh,t1417-reflog-updateref.sh,PASS,2161,21,0,21,21
matrix-20260722-oracle-d65a513c-wave-1,t1450-fsck.sh,t1450-fsck.sh,PASS,14167,96,0,96,96
matrix-20260722-oracle-d65a513c-wave-1,t1502-rev-parse-parseopt.sh,t1502-rev-parse-parseopt.sh,PASS,874,37,0,37,37
matrix-20260722-oracle-d65a513c-wave-1,t1510-repo-setup.sh,t1510-repo-setup.sh,PASS,13115,109,0,109,109
matrix-20260722-oracle-d65a513c-wave-1,t1601-index-bogus.sh,t1601-index-bogus.sh,PASS,342,4,0,4,4
matrix-20260722-oracle-d65a513c-wave-1,t2003-checkout-cache-mkdir.sh,t2003-checkout-cache-mkdir.sh,PASS,584,10,0,10,10
matrix-20260722-oracle-d65a513c-wave-1,t2011-checkout-invalid-head.sh,t2011-checkout-invalid-head.sh,PASS,666,10,0,10,10
matrix-20260722-oracle-d65a513c-wave-1,t2019-checkout-ambiguous-ref.sh,t2019-checkout-ambiguous-ref.sh,PASS,607,9,0,9,9
matrix-20260722-oracle-d65a513c-wave-1,t2027-checkout-track.sh,t2027-checkout-track.sh,PASS,1093,5,0,5,5
matrix-20260722-oracle-d65a513c-wave-1,t2081-parallel-checkout-collisions.sh,t2081-parallel-checkout-collisions.sh,PASS,1389,6,0,6,6
matrix-20260722-oracle-d65a513c-wave-1,t2106-update-index-assume-unchanged.sh,t2106-update-index-assume-unchanged.sh,PASS,478,2,0,2,2
matrix-20260722-oracle-d65a513c-wave-1,t2205-add-worktree-config.sh,t2205-add-worktree-config.sh,PASS,908,13,0,13,13
matrix-20260722-oracle-d65a513c-wave-1,t2405-worktree-submodule.sh,t2405-worktree-submodule.sh,PASS,2487,10,1,11,11
matrix-20260722-oracle-d65a513c-wave-1,t3003-ls-files-exclude.sh,t3003-ls-files-exclude.sh,PASS,435,7,0,7,7
matrix-20260722-oracle-d65a513c-wave-1,t3011-common-prefixes-and-directory-traversal.sh,t3011-common-prefixes-and-directory-traversal.sh,PASS,823,20,1,21,21
matrix-20260722-oracle-d65a513c-wave-1,t3100-ls-tree-restrict.sh,t3100-ls-tree-restrict.sh,PASS,813,14,0,14,14
matrix-20260722-oracle-d65a513c-wave-1,t3202-show-branch.sh,t3202-show-branch.sh,PASS,2946,27,0,27,27
matrix-20260722-oracle-d65a513c-wave-1,t3301-notes.sh,t3301-notes.sh,PASS,9474,153,0,153,153
matrix-20260722-oracle-d65a513c-wave-1,t3310-notes-merge-manual-resolve.sh,t3310-notes-merge-manual-resolve.sh,PASS,3378,22,0,22,22
matrix-20260722-oracle-d65a513c-wave-1,t3404-rebase-interactive.sh,t3404-rebase-interactive.sh,PASS,32275,133,0,133,133
matrix-20260722-oracle-d65a513c-wave-1,t3415-rebase-autosquash.sh,t3415-rebase-autosquash.sh,PASS,9948,28,0,28,28
matrix-20260722-oracle-d65a513c-wave-1,t3423-rebase-reword.sh,t3423-rebase-reword.sh,PASS,1204,3,0,3,3
matrix-20260722-oracle-d65a513c-wave-1,t3431-rebase-fork-point.sh,t3431-rebase-fork-point.sh,PASS,3886,26,0,26,26
matrix-20260722-oracle-d65a513c-wave-1,t3440-rebase-trailer.sh,t3440-rebase-trailer.sh,PASS,1771,10,0,10,10
matrix-20260722-oracle-d65a513c-wave-1,t3504-cherry-pick-rerere.sh,t3504-cherry-pick-rerere.sh,PASS,1538,9,0,9,9
matrix-20260722-oracle-d65a513c-wave-1,t3512-cherry-pick-submodule.sh,t3512-cherry-pick-submodule.sh,PASS,12025,13,2,15,15
matrix-20260722-oracle-d65a513c-wave-1,t3701-add-interactive.sh,t3701-add-interactive.sh,PASS,9288,130,0,130,130
matrix-20260722-oracle-d65a513c-wave-1,t3902-quoted.sh,t3902-quoted.sh,PASS,500,13,0,13,13
matrix-20260722-oracle-d65a513c-wave-1,t3910-mac-os-precompose.sh,t3910-mac-os-precompose.sh,PASS,1536,28,1,29,29
matrix-20260722-oracle-d65a513c-wave-1,t4006-diff-mode.sh,t4006-diff-mode.sh,PASS,453,7,0,7,7
matrix-20260722-oracle-d65a513c-wave-1,t4014-format-patch.sh,t4014-format-patch.sh,PASS,10915,221,5,226,226
matrix-20260722-oracle-d65a513c-wave-1,t4023-diff-rename-typechange.sh,t4023-diff-rename-typechange.sh,PASS,721,4,0,4,4
matrix-20260722-oracle-d65a513c-wave-1,t4031-diff-rewrite-binary.sh,t4031-diff-rewrite-binary.sh,PASS,592,8,0,8,8
matrix-20260722-oracle-d65a513c-wave-1,t4039-diff-assume-unchanged.sh,t4039-diff-assume-unchanged.sh,PASS,470,4,0,4,4
matrix-20260722-oracle-d65a513c-wave-1,t4047-diff-dirstat.sh,t4047-diff-dirstat.sh,PASS,2513,41,0,41,41
matrix-20260722-oracle-d65a513c-wave-1,t4055-diff-context.sh,t4055-diff-context.sh,PASS,649,11,0,11,11
matrix-20260722-oracle-d65a513c-wave-1,t4063-diff-blobs.sh,t4063-diff-blobs.sh,PASS,472,18,0,18,18
matrix-20260722-oracle-d65a513c-wave-1,t4071-diff-minimal.sh,t4071-diff-minimal.sh,PASS,283,1,0,1,1
matrix-20260722-oracle-d65a513c-wave-1,t4104-apply-boundary.sh,t4104-apply-boundary.sh,PASS,1114,24,0,24,24
matrix-20260722-oracle-d65a513c-wave-1,t4112-apply-renames.sh,t4112-apply-renames.sh,PASS,327,2,0,2,2
matrix-20260722-oracle-d65a513c-wave-1,t4120-apply-popt.sh,t4120-apply-popt.sh,PASS,539,12,0,12,12
matrix-20260722-oracle-d65a513c-wave-1,t4128-apply-root.sh,t4128-apply-root.sh,PASS,704,12,0,12,12
matrix-20260722-oracle-d65a513c-wave-1,t4136-apply-check.sh,t4136-apply-check.sh,PASS,346,6,0,6,6
matrix-20260722-oracle-d65a513c-wave-1,t4153-am-resume-override-opts.sh,t4153-am-resume-override-opts.sh,PASS,910,6,0,6,6
matrix-20260722-oracle-d65a513c-wave-1,t4207-log-decoration-colors.sh,t4207-log-decoration-colors.sh,PASS,974,4,0,4,4
matrix-20260722-oracle-d65a513c-wave-1,t4215-log-skewed-merges.sh,t4215-log-skewed-merges.sh,PASS,6338,15,0,15,15
matrix-20260722-oracle-d65a513c-wave-1,t5000-tar-tree.sh,t5000-tar-tree.sh,PASS,2446,90,0,90,90
matrix-20260722-oracle-d65a513c-wave-1,t5301-sliding-window.sh,t5301-sliding-window.sh,PASS,608,6,0,6,6
matrix-20260722-oracle-d65a513c-wave-1,t5309-pack-delta-cycles.sh,t5309-pack-delta-cycles.sh,PASS,709,7,0,7,7
matrix-20260722-oracle-d65a513c-wave-1,t5317-pack-objects-filter-objects.sh,t5317-pack-objects-filter-objects.sh,PASS,2476,38,0,38,38
matrix-20260722-oracle-d65a513c-wave-1,t5325-reverse-index.sh,t5325-reverse-index.sh,PASS,1254,16,0,16,16
matrix-20260722-oracle-d65a513c-wave-1,t5333-pseudo-merge-bitmaps.sh,t5333-pseudo-merge-bitmaps.sh,PASS,7645,24,0,24,24
matrix-20260722-oracle-d65a513c-wave-1,t5404-tracking-branches.sh,t5404-tracking-branches.sh,PASS,730,7,0,7,7
