target,script,cell,status,raw_result,directive,description
"oracle","t3701-add-interactive.sh","1","PASS","ok","","unknown command"
"oracle","t3701-add-interactive.sh","2","PASS","ok","","setup (initial)"
"oracle","t3701-add-interactive.sh","3","PASS","ok","","status works (initial)"
"oracle","t3701-add-interactive.sh","4","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","5","PASS","ok","","diff works (initial)"
"oracle","t3701-add-interactive.sh","6","PASS","ok","","revert works (initial)"
"oracle","t3701-add-interactive.sh","7","PASS","ok","","add untracked (multiple)"
"oracle","t3701-add-interactive.sh","8","PASS","ok","","setup (commit)"
"oracle","t3701-add-interactive.sh","9","PASS","ok","","status works (commit)"
"oracle","t3701-add-interactive.sh","10","PASS","ok","","update can stage deletions"
"oracle","t3701-add-interactive.sh","11","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","12","PASS","ok","","diff works (commit)"
"oracle","t3701-add-interactive.sh","13","PASS","ok","","revert works (commit)"
"oracle","t3701-add-interactive.sh","14","PASS","ok","","reject multi-key input"
"oracle","t3701-add-interactive.sh","15","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","16","PASS","ok","","dummy edit works"
"oracle","t3701-add-interactive.sh","17","PASS","ok","","setup patch"
"oracle","t3701-add-interactive.sh","18","PASS","ok","","setup fake editor"
"oracle","t3701-add-interactive.sh","19","PASS","ok","","bad edit rejected"
"oracle","t3701-add-interactive.sh","20","PASS","ok","","setup patch"
"oracle","t3701-add-interactive.sh","21","PASS","ok","","garbage edit rejected"
"oracle","t3701-add-interactive.sh","22","PASS","ok","","setup patch"
"oracle","t3701-add-interactive.sh","23","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","24","PASS","ok","","real edit works"
"oracle","t3701-add-interactive.sh","25","PASS","ok","","setup file"
"oracle","t3701-add-interactive.sh","26","PASS","ok","","setup patch"
"oracle","t3701-add-interactive.sh","27","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","28","PASS","ok","","edit can strip spaces from empty context lines"
"oracle","t3701-add-interactive.sh","29","PASS","ok","","skip files similarly as commit -a"
"oracle","t3701-add-interactive.sh","30","PASS","ok","","patch does not affect mode"
"oracle","t3701-add-interactive.sh","31","PASS","ok","","stage mode but not hunk"
"oracle","t3701-add-interactive.sh","32","PASS","ok","","stage mode and hunk"
"oracle","t3701-add-interactive.sh","33","PASS","ok","","different prompts for mode change/deleted"
"oracle","t3701-add-interactive.sh","34","PASS","ok","","correct message when there is nothing to do"
"oracle","t3701-add-interactive.sh","35","PASS","ok","","setup again"
"oracle","t3701-add-interactive.sh","36","PASS","ok","","setup patch"
"oracle","t3701-add-interactive.sh","37","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","38","PASS","ok","","add first line works"
"oracle","t3701-add-interactive.sh","39","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","40","PASS","ok","","deleting a non-empty file"
"oracle","t3701-add-interactive.sh","41","PASS","ok","","setup expected"
"oracle","t3701-add-interactive.sh","42","PASS","ok","","deleting an empty file"
"oracle","t3701-add-interactive.sh","43","PASS","ok","","adding an empty file"
"oracle","t3701-add-interactive.sh","44","PASS","ok","","split hunk setup"
