script,oracle_result,sley_result,oracle_cells,sley_cells,cell_vector,correctness,unexpected_sley_skips,missing_sley_cells,extra_sley_cells,performance_eligible,performance_comparison
t0000-basic.sh,PASS,PASS,92,92,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0001-init.sh,PASS,PASS,103,103,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0002-gitfile.sh,PASS,PASS,14,14,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0003-attributes.sh,PASS,PASS,55,55,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0004-unwritable.sh,PASS,FAIL,9,9,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0005-signals.sh,PASS,FAIL,5,5,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0006-date.sh,PASS,PASS,149,149,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0007-git-var.sh,PASS,PASS,27,27,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0008-ignores.sh,PASS,PASS,398,398,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0009-git-dir-validation.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0010-racy-git.sh,PASS,PASS,10,10,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0012-help.sh,PASS,PASS,181,181,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0013-sha1dc.sh,PASS,PASS,1,1,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0014-alias.sh,PASS,FAIL,23,23,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0017-env-helper.sh,PASS,PASS,5,5,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0018-advice.sh,PASS,FAIL,6,6,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0019-json-writer.sh,PASS,PASS,16,16,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0020-crlf.sh,PASS,PASS,36,36,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0021-conversion.sh,PASS,FAIL,43,43,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0022-crlf-rename.sh,PASS,PASS,2,2,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0023-crlf-am.sh,PASS,PASS,2,2,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0024-crlf-archive.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0025-crlf-renormalize.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0026-eol-config.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0027-auto-crlf.sh,PASS,PASS,2600,2600,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0028-working-tree-encoding.sh,PASS,PASS,22,22,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0029-core-unsetenvvars.sh,SKIP,SKIP,0,0,EXACT,PASS,0,0,0,eligible,INCOMPARABLE
t0030-stripspace.sh,PASS,PASS,30,30,EXACT,PASS,0,0,0,eligible,COMPARABLE
t0031-lockfile-pid.sh,PASS,FAIL,7,7,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t0033-safe-directory.sh,PASS,PASS,22,22,EXACT,PASS,0,0,0,eligible,COMPARABLE
