label,script,command,result,elapsed_ms,ok,notok,total,plan_total
full-sley-e8246fed-wave-1,t0000-basic.sh,t0000-basic.sh,PASS,17118,92,0,92,92
full-sley-e8246fed-wave-1,t0008-ignores.sh,t0008-ignores.sh,PASS,10357,398,0,398,398
full-sley-e8246fed-wave-1,t0019-json-writer.sh,t0019-json-writer.sh,PASS,717,16,0,16,16
full-sley-e8246fed-wave-1,t0027-auto-crlf.sh,t0027-auto-crlf.sh,PASS,56093,2600,0,2600,2600
full-sley-e8246fed-wave-1,t0040-parse-options.sh,t0040-parse-options.sh,PASS,1458,94,0,94,94
full-sley-e8246fed-wave-1,t0061-run-command.sh,t0061-run-command.sh,PASS,1577,24,0,24,24
full-sley-e8246fed-wave-1,t0081-find-pack.sh,t0081-find-pack.sh,PASS,868,4,0,4,4
full-sley-e8246fed-wave-1,t0201-gettext-fallbacks.sh,t0201-gettext-fallbacks.sh,PASS,414,8,0,8,8
full-sley-e8246fed-wave-1,t0300-credentials.sh,t0300-credentials.sh,PASS,5139,56,0,56,56
full-sley-e8246fed-wave-1,t0600-reffiles-backend.sh,t0600-reffiles-backend.sh,PASS,4373,33,0,33,33
full-sley-e8246fed-wave-1,t1000-read-tree-m-3way.sh,t1000-read-tree-m-3way.sh,PASS,4425,83,0,83,83
full-sley-e8246fed-wave-1,t1008-read-tree-overlay.sh,t1008-read-tree-overlay.sh,PASS,529,2,0,2,2
full-sley-e8246fed-wave-1,t1016-compatObjectFormat.sh,t1016-compatObjectFormat.sh,SKIP,325,0,0,0,0
full-sley-e8246fed-wave-1,t1092-sparse-checkout-compatibility.sh,t1092-sparse-checkout-compatibility.sh,FAIL,233872,109,2,111,111
full-sley-e8246fed-wave-1,t1306-xdg-files.sh,t1306-xdg-files.sh,PASS,740,21,0,21,21
full-sley-e8246fed-wave-1,t1401-symbolic-ref.sh,symbolic-ref,PASS,2200,25,0,25,25
full-sley-e8246fed-wave-1,t1409-avoid-packing-refs.sh,t1409-avoid-packing-refs.sh,PASS,907,11,0,11,11
full-sley-e8246fed-wave-1,t1417-reflog-updateref.sh,t1417-reflog-updateref.sh,PASS,3102,21,0,21,21
full-sley-e8246fed-wave-1,t1450-fsck.sh,t1450-fsck.sh,PASS,11118,96,0,96,96
full-sley-e8246fed-wave-1,t1502-rev-parse-parseopt.sh,t1502-rev-parse-parseopt.sh,PASS,798,37,0,37,37
full-sley-e8246fed-wave-1,t1510-repo-setup.sh,t1510-repo-setup.sh,PASS,13135,109,0,109,109
full-sley-e8246fed-wave-1,t1601-index-bogus.sh,t1601-index-bogus.sh,FAIL,363,2,2,4,4
full-sley-e8246fed-wave-1,t2003-checkout-cache-mkdir.sh,t2003-checkout-cache-mkdir.sh,PASS,601,10,0,10,10
full-sley-e8246fed-wave-1,t2011-checkout-invalid-head.sh,t2011-checkout-invalid-head.sh,PASS,522,10,0,10,10
full-sley-e8246fed-wave-1,t2019-checkout-ambiguous-ref.sh,t2019-checkout-ambiguous-ref.sh,FAIL,550,7,2,9,9
full-sley-e8246fed-wave-1,t2027-checkout-track.sh,t2027-checkout-track.sh,FAIL,1035,3,2,5,5
full-sley-e8246fed-wave-1,t2081-parallel-checkout-collisions.sh,t2081-parallel-checkout-collisions.sh,FAIL,1011,1,5,6,6
full-sley-e8246fed-wave-1,t2106-update-index-assume-unchanged.sh,t2106-update-index-assume-unchanged.sh,PASS,399,2,0,2,2
full-sley-e8246fed-wave-1,t2205-add-worktree-config.sh,t2205-add-worktree-config.sh,PASS,777,13,0,13,13
full-sley-e8246fed-wave-1,t2405-worktree-submodule.sh,t2405-worktree-submodule.sh,FAIL,1091,4,7,11,11
full-sley-e8246fed-wave-1,t3003-ls-files-exclude.sh,t3003-ls-files-exclude.sh,PASS,392,7,0,7,7
full-sley-e8246fed-wave-1,t3011-common-prefixes-and-directory-traversal.sh,t3011-common-prefixes-and-directory-traversal.sh,FAIL,814,21,0,21,21
full-sley-e8246fed-wave-1,t3100-ls-tree-restrict.sh,t3100-ls-tree-restrict.sh,PASS,558,14,0,14,14
full-sley-e8246fed-wave-1,t3202-show-branch.sh,t3202-show-branch.sh,FAIL,2077,16,11,27,27
full-sley-e8246fed-wave-1,t3301-notes.sh,t3301-notes.sh,PASS,7728,153,0,153,153
full-sley-e8246fed-wave-1,t3310-notes-merge-manual-resolve.sh,t3310-notes-merge-manual-resolve.sh,PASS,2737,22,0,22,22
full-sley-e8246fed-wave-1,t3404-rebase-interactive.sh,t3404-rebase-interactive.sh,PASS,28470,133,0,133,133
full-sley-e8246fed-wave-1,t3415-rebase-autosquash.sh,t3415-rebase-autosquash.sh,FAIL,6386,24,4,28,28
full-sley-e8246fed-wave-1,t3423-rebase-reword.sh,t3423-rebase-reword.sh,PASS,951,3,0,3,3
full-sley-e8246fed-wave-1,t3431-rebase-fork-point.sh,t3431-rebase-fork-point.sh,FAIL,3139,22,4,26,26
full-sley-e8246fed-wave-1,t3440-rebase-trailer.sh,t3440-rebase-trailer.sh,FAIL,797,1,9,10,10
full-sley-e8246fed-wave-1,t3504-cherry-pick-rerere.sh,t3504-cherry-pick-rerere.sh,FAIL,818,4,5,9,9
full-sley-e8246fed-wave-1,t3512-cherry-pick-submodule.sh,t3512-cherry-pick-submodule.sh,PASS,6000,13,2,15,15
full-sley-e8246fed-wave-1,t3701-add-interactive.sh,t3701-add-interactive.sh,PASS,8722,130,0,130,130
full-sley-e8246fed-wave-1,t3902-quoted.sh,t3902-quoted.sh,FAIL,430,8,5,13,13
full-sley-e8246fed-wave-1,t3910-mac-os-precompose.sh,t3910-mac-os-precompose.sh,FAIL,1092,29,0,29,29
full-sley-e8246fed-wave-1,t4006-diff-mode.sh,t4006-diff-mode.sh,PASS,399,7,0,7,7
full-sley-e8246fed-wave-1,t4014-format-patch.sh,t4014-format-patch.sh,FAIL,9144,226,0,226,226
full-sley-e8246fed-wave-1,t4023-diff-rename-typechange.sh,t4023-diff-rename-typechange.sh,FAIL,670,1,3,4,4
full-sley-e8246fed-wave-1,t4031-diff-rewrite-binary.sh,t4031-diff-rewrite-binary.sh,FAIL,328,3,5,8,8
full-sley-e8246fed-wave-1,t4039-diff-assume-unchanged.sh,t4039-diff-assume-unchanged.sh,FAIL,377,1,3,4,4
full-sley-e8246fed-wave-1,t4047-diff-dirstat.sh,t4047-diff-dirstat.sh,PASS,2388,41,0,41,41
full-sley-e8246fed-wave-1,t4055-diff-context.sh,t4055-diff-context.sh,PASS,515,11,0,11,11
full-sley-e8246fed-wave-1,t4063-diff-blobs.sh,t4063-diff-blobs.sh,PASS,416,18,0,18,18
full-sley-e8246fed-wave-1,t4071-diff-minimal.sh,t4071-diff-minimal.sh,PASS,262,1,0,1,1
full-sley-e8246fed-wave-1,t4104-apply-boundary.sh,t4104-apply-boundary.sh,PASS,927,24,0,24,24
full-sley-e8246fed-wave-1,t4112-apply-renames.sh,t4112-apply-renames.sh,FAIL,284,0,2,2,2
full-sley-e8246fed-wave-1,t4120-apply-popt.sh,t4120-apply-popt.sh,PASS,458,12,0,12,12
full-sley-e8246fed-wave-1,t4128-apply-root.sh,t4128-apply-root.sh,PASS,624,12,0,12,12
full-sley-e8246fed-wave-1,t4136-apply-check.sh,t4136-apply-check.sh,PASS,324,6,0,6,6
full-sley-e8246fed-wave-1,t4153-am-resume-override-opts.sh,t4153-am-resume-override-opts.sh,PASS,694,6,0,6,6
full-sley-e8246fed-wave-1,t4207-log-decoration-colors.sh,t4207-log-decoration-colors.sh,FAIL,632,1,3,4,4
full-sley-e8246fed-wave-1,t4215-log-skewed-merges.sh,t4215-log-skewed-merges.sh,FAIL,3771,10,5,15,15
full-sley-e8246fed-wave-1,t5000-tar-tree.sh,t5000-tar-tree.sh,FAIL,2018,87,3,90,90
full-sley-e8246fed-wave-1,t5301-sliding-window.sh,t5301-sliding-window.sh,PASS,478,6,0,6,6
full-sley-e8246fed-wave-1,t5309-pack-delta-cycles.sh,t5309-pack-delta-cycles.sh,PASS,588,7,0,7,7
full-sley-e8246fed-wave-1,t5317-pack-objects-filter-objects.sh,t5317-pack-objects-filter-objects.sh,PASS,1797,38,0,38,38
full-sley-e8246fed-wave-1,t5325-reverse-index.sh,t5325-reverse-index.sh,PASS,897,16,0,16,16
full-sley-e8246fed-wave-1,t5333-pseudo-merge-bitmaps.sh,t5333-pseudo-merge-bitmaps.sh,PASS,8199,24,0,24,24
full-sley-e8246fed-wave-1,t5404-tracking-branches.sh,t5404-tracking-branches.sh,PASS,609,7,0,7,7
full-sley-e8246fed-wave-1,t5500-fetch-pack.sh,t5500-fetch-pack.sh,PASS,17811,378,0,378,378
full-sley-e8246fed-wave-1,t5509-fetch-push-namespaces.sh,t5509-fetch-push-namespaces.sh,PASS,1016,15,0,15,15
full-sley-e8246fed-wave-1,t5517-push-mirror.sh,t5517-push-mirror.sh,PASS,2082,13,0,13,13
full-sley-e8246fed-wave-1,t5525-fetch-tagopt.sh,t5525-fetch-tagopt.sh,PASS,480,5,0,5,5
full-sley-e8246fed-wave-1,t5533-push-cas.sh,t5533-push-cas.sh,PASS,6705,23,0,23,23
full-sley-e8246fed-wave-1,t5545-push-options.sh,t5545-push-options.sh,PASS,8532,13,0,13,13
full-sley-e8246fed-wave-1,t5571-pre-push-hook.sh,t5571-pre-push-hook.sh,PASS,2461,11,0,11,11
full-sley-e8246fed-wave-1,t5601-clone.sh,t5601-clone.sh,PASS,13049,115,0,115,115
full-sley-e8246fed-wave-1,t5610-clone-detached.sh,t5610-clone-detached.sh,FAIL,589,13,0,13,13
full-sley-e8246fed-wave-1,t5618-alternate-refs.sh,t5618-alternate-refs.sh,FAIL,383,2,4,6,6
full-sley-e8246fed-wave-1,t5704-protocol-violations.sh,t5704-protocol-violations.sh,PASS,311,3,0,3,3
full-sley-e8246fed-wave-1,t5810-proto-disable-local.sh,t5810-proto-disable-local.sh,PASS,1083,54,0,54,54
full-sley-e8246fed-wave-1,t6001-rev-list-graft.sh,t6001-rev-list-graft.sh,PASS,640,14,0,14,14
full-sley-e8246fed-wave-1,t6009-rev-list-parent.sh,t6009-rev-list-parent.sh,FAIL,1886,9,6,15,15
full-sley-e8246fed-wave-1,t6018-rev-list-glob.sh,t6018-rev-list-glob.sh,PASS,2038,91,4,95,95
full-sley-e8246fed-wave-1,t6050-replace.sh,t6050-replace.sh,PASS,2702,37,0,37,37
full-sley-e8246fed-wave-1,t6113-rev-list-bitmap-filters.sh,t6113-rev-list-bitmap-filters.sh,PASS,976,14,0,14,14
full-sley-e8246fed-wave-1,t6134-pathspec-in-submodule.sh,t6134-pathspec-in-submodule.sh,PASS,358,3,0,3,3
full-sley-e8246fed-wave-1,t6400-merge-df.sh,t6400-merge-df.sh,PASS,952,7,0,7,7
full-sley-e8246fed-wave-1,t6408-merge-up-to-date.sh,t6408-merge-up-to-date.sh,PASS,546,8,0,8,8
full-sley-e8246fed-wave-1,t6417-merge-ours-theirs.sh,t6417-merge-ours-theirs.sh,FAIL,710,5,2,7,7
full-sley-e8246fed-wave-1,t6426-merge-skip-unneeded-updates.sh,t6426-merge-skip-unneeded-updates.sh,PASS,3002,13,0,13,13
full-sley-e8246fed-wave-1,t6434-merge-recursive-rename-options.sh,t6434-merge-recursive-rename-options.sh,PASS,1983,27,0,27,27
full-sley-e8246fed-wave-1,t6600-test-reach.sh,t6600-test-reach.sh,FAIL,9563,44,9,53,53
full-sley-e8246fed-wave-1,t7007-show.sh,t7007-show.sh,FAIL,1097,10,8,18,18
full-sley-e8246fed-wave-1,t7061-wtstatus-ignore.sh,t7061-wtstatus-ignore.sh,PASS,1019,25,0,25,25
full-sley-e8246fed-wave-1,t7105-reset-patch.sh,t7105-reset-patch.sh,FAIL,962,6,7,13,13
full-sley-e8246fed-wave-1,t7300-clean.sh,t7300-clean.sh,PASS,1883,53,2,55,55
full-sley-e8246fed-wave-1,t7408-submodule-reference.sh,t7408-submodule-reference.sh,PASS,1955,16,0,16,16
