label,script,command,result,ok,notok,total
full-oracle-6d144c6c-wave-1,t0000-basic.sh,t0000-basic.sh,PASS,92,0,92
full-oracle-6d144c6c-wave-1,t0008-ignores.sh,t0008-ignores.sh,PASS,398,0,398
full-oracle-6d144c6c-wave-1,t0019-json-writer.sh,t0019-json-writer.sh,PASS,16,0,16
full-oracle-6d144c6c-wave-1,t0027-auto-crlf.sh,t0027-auto-crlf.sh,PASS,2600,0,2600
full-oracle-6d144c6c-wave-1,t0040-parse-options.sh,t0040-parse-options.sh,PASS,94,0,94
full-oracle-6d144c6c-wave-1,t0061-run-command.sh,t0061-run-command.sh,PASS,24,0,24
full-oracle-6d144c6c-wave-1,t0081-find-pack.sh,t0081-find-pack.sh,PASS,4,0,4
full-oracle-6d144c6c-wave-1,t0201-gettext-fallbacks.sh,t0201-gettext-fallbacks.sh,PASS,8,0,8
full-oracle-6d144c6c-wave-1,t0300-credentials.sh,t0300-credentials.sh,PASS,56,0,56
full-oracle-6d144c6c-wave-1,t0600-reffiles-backend.sh,t0600-reffiles-backend.sh,PASS,33,0,33
full-oracle-6d144c6c-wave-1,t1000-read-tree-m-3way.sh,t1000-read-tree-m-3way.sh,PASS,83,0,83
full-oracle-6d144c6c-wave-1,t1008-read-tree-overlay.sh,t1008-read-tree-overlay.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-1,t1016-compatObjectFormat.sh,t1016-compatObjectFormat.sh,SKIP,0,0,0
full-oracle-6d144c6c-wave-1,t1092-sparse-checkout-compatibility.sh,t1092-sparse-checkout-compatibility.sh,PASS,109,2,111
full-oracle-6d144c6c-wave-1,t1306-xdg-files.sh,t1306-xdg-files.sh,PASS,21,0,21
full-oracle-6d144c6c-wave-1,t1401-symbolic-ref.sh,symbolic-ref,PASS,25,0,25
full-oracle-6d144c6c-wave-1,t1409-avoid-packing-refs.sh,t1409-avoid-packing-refs.sh,PASS,11,0,11
full-oracle-6d144c6c-wave-1,t1417-reflog-updateref.sh,t1417-reflog-updateref.sh,PASS,21,0,21
full-oracle-6d144c6c-wave-1,t1450-fsck.sh,t1450-fsck.sh,PASS,96,0,96
