target,script,result,exit_code,pass,fail,todo,skip,total_cells,plan_total,abort,timeout,missing_cells,extra_cells
sley,t0000-basic.sh,PASS,0,92,0,0,0,92,92,0,0,0,0
sley,t0008-ignores.sh,PASS,0,397,0,0,1,398,398,0,0,0,0
sley,t0019-json-writer.sh,PASS,0,16,0,0,0,16,16,0,0,0,0
sley,t0027-auto-crlf.sh,PASS,0,2600,0,0,0,2600,2600,0,0,0,0
sley,t0040-parse-options.sh,PASS,0,94,0,0,0,94,94,0,0,0,0
sley,t0061-run-command.sh,PASS,0,21,0,0,3,24,24,0,0,0,0
sley,t0081-find-pack.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t0201-gettext-fallbacks.sh,PASS,0,8,0,0,0,8,8,0,0,0,0
sley,t0300-credentials.sh,PASS,0,56,0,0,0,56,56,0,0,0,0
sley,t0600-reffiles-backend.sh,PASS,0,32,0,0,1,33,33,0,0,0,0
sley,t1000-read-tree-m-3way.sh,PASS,0,83,0,0,0,83,83,0,0,0,0
sley,t1008-read-tree-overlay.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t1016-compatObjectFormat.sh,SKIP,0,0,0,0,1,0,0,0,0,0,0
sley,t1092-sparse-checkout-compatibility.sh,FAIL,1,109,0,2,0,111,111,0,0,0,0
sley,t1306-xdg-files.sh,PASS,0,21,0,0,0,21,21,0,0,0,0
sley,t1401-symbolic-ref.sh,PASS,0,25,0,0,0,25,25,0,0,0,0
sley,t1409-avoid-packing-refs.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t1417-reflog-updateref.sh,PASS,0,21,0,0,0,21,21,0,0,0,0
sley,t1450-fsck.sh,PASS,0,96,0,0,0,96,96,0,0,0,0
sley,t1502-rev-parse-parseopt.sh,PASS,0,37,0,0,0,37,37,0,0,0,0
sley,t1510-repo-setup.sh,PASS,0,109,0,0,0,109,109,0,0,0,0
sley,t1601-index-bogus.sh,FAIL,1,2,2,0,0,4,4,0,0,0,0
sley,t2003-checkout-cache-mkdir.sh,PASS,0,10,0,0,0,10,10,0,0,0,0
sley,t2011-checkout-invalid-head.sh,PASS,0,10,0,0,0,10,10,0,0,0,0
sley,t2019-checkout-ambiguous-ref.sh,FAIL,1,7,2,0,0,9,9,0,0,0,0
sley,t2027-checkout-track.sh,FAIL,1,3,2,0,0,5,5,0,0,0,0
sley,t2081-parallel-checkout-collisions.sh,FAIL,1,1,5,0,0,6,6,0,0,0,0
sley,t2106-update-index-assume-unchanged.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t2205-add-worktree-config.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t2405-worktree-submodule.sh,FAIL,1,4,6,1,0,11,11,0,0,0,0
sley,t3003-ls-files-exclude.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t3011-common-prefixes-and-directory-traversal.sh,FAIL,1,20,0,1,0,21,21,0,0,0,0
sley,t3100-ls-tree-restrict.sh,PASS,0,14,0,0,0,14,14,0,0,0,0
sley,t3202-show-branch.sh,FAIL,1,16,11,0,0,27,27,0,0,0,0
sley,t3301-notes.sh,PASS,0,153,0,0,0,153,153,0,0,0,0
sley,t3310-notes-merge-manual-resolve.sh,PASS,0,22,0,0,0,22,22,0,0,0,0
sley,t3404-rebase-interactive.sh,PASS,0,133,0,0,0,133,133,0,0,0,0
sley,t3415-rebase-autosquash.sh,FAIL,1,24,4,0,0,28,28,0,0,0,0
sley,t3423-rebase-reword.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t3431-rebase-fork-point.sh,FAIL,1,22,4,0,0,26,26,0,0,0,0
sley,t3440-rebase-trailer.sh,FAIL,1,1,9,0,0,10,10,0,0,0,0
sley,t3504-cherry-pick-rerere.sh,FAIL,1,4,5,0,0,9,9,0,0,0,0
sley,t3512-cherry-pick-submodule.sh,PASS,0,13,0,2,0,15,15,0,0,0,0
sley,t3701-add-interactive.sh,PASS,0,128,0,0,2,130,130,0,0,0,0
sley,t3902-quoted.sh,FAIL,1,8,5,0,0,13,13,0,0,0,0
sley,t3910-mac-os-precompose.sh,FAIL,1,28,0,1,0,29,29,0,0,0,0
sley,t4006-diff-mode.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t4014-format-patch.sh,FAIL,1,219,0,5,2,226,226,0,0,0,0
sley,t4023-diff-rename-typechange.sh,FAIL,1,1,3,0,0,4,4,0,0,0,0
sley,t4031-diff-rewrite-binary.sh,FAIL,1,3,5,0,0,8,8,0,0,0,0
sley,t4039-diff-assume-unchanged.sh,FAIL,1,1,3,0,0,4,4,0,0,0,0
sley,t4047-diff-dirstat.sh,PASS,0,41,0,0,0,41,41,0,0,0,0
sley,t4055-diff-context.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t4063-diff-blobs.sh,PASS,0,18,0,0,0,18,18,0,0,0,0
sley,t4071-diff-minimal.sh,PASS,0,1,0,0,0,1,1,0,0,0,0
sley,t4104-apply-boundary.sh,PASS,0,24,0,0,0,24,24,0,0,0,0
sley,t4112-apply-renames.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t4120-apply-popt.sh,PASS,0,12,0,0,0,12,12,0,0,0,0
sley,t4128-apply-root.sh,PASS,0,12,0,0,0,12,12,0,0,0,0
sley,t4136-apply-check.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t4153-am-resume-override-opts.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t4207-log-decoration-colors.sh,FAIL,1,1,3,0,0,4,4,0,0,0,0
sley,t4215-log-skewed-merges.sh,FAIL,1,10,5,0,0,15,15,0,0,0,0
sley,t5000-tar-tree.sh,FAIL,1,78,3,0,9,90,90,0,0,0,0
sley,t5301-sliding-window.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t5309-pack-delta-cycles.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t5317-pack-objects-filter-objects.sh,PASS,0,38,0,0,0,38,38,0,0,0,0
sley,t5325-reverse-index.sh,PASS,0,16,0,0,0,16,16,0,0,0,0
sley,t5333-pseudo-merge-bitmaps.sh,PASS,0,24,0,0,0,24,24,0,0,0,0
sley,t5404-tracking-branches.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t5500-fetch-pack.sh,PASS,0,367,0,0,11,378,378,0,0,0,0
sley,t5509-fetch-push-namespaces.sh,PASS,0,15,0,0,0,15,15,0,0,0,0
sley,t5517-push-mirror.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t5525-fetch-tagopt.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
sley,t5533-push-cas.sh,PASS,0,23,0,0,0,23,23,0,0,0,0
sley,t5545-push-options.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t5571-pre-push-hook.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t5601-clone.sh,PASS,0,114,0,0,1,115,115,0,0,0,0
sley,t5610-clone-detached.sh,FAIL,1,12,0,1,0,13,13,0,0,0,0
sley,t5618-alternate-refs.sh,FAIL,1,2,4,0,0,6,6,0,0,0,0
sley,t5704-protocol-violations.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t5810-proto-disable-local.sh,PASS,0,54,0,0,0,54,54,0,0,0,0
sley,t6001-rev-list-graft.sh,PASS,0,14,0,0,0,14,14,0,0,0,0
sley,t6009-rev-list-parent.sh,FAIL,1,9,6,0,0,15,15,0,0,0,0
sley,t6018-rev-list-glob.sh,PASS,0,91,0,4,0,95,95,0,0,0,0
sley,t6050-replace.sh,PASS,0,33,0,0,4,37,37,0,0,0,0
sley,t6113-rev-list-bitmap-filters.sh,PASS,0,14,0,0,0,14,14,0,0,0,0
sley,t6134-pathspec-in-submodule.sh,FAIL,1,2,1,0,0,3,3,0,0,0,0
sley,t6400-merge-df.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t6408-merge-up-to-date.sh,PASS,0,8,0,0,0,8,8,0,0,0,0
sley,t6417-merge-ours-theirs.sh,FAIL,1,5,2,0,0,7,7,0,0,0,0
sley,t6426-merge-skip-unneeded-updates.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t6434-merge-recursive-rename-options.sh,PASS,0,27,0,0,0,27,27,0,0,0,0
sley,t6600-test-reach.sh,FAIL,1,44,9,0,0,53,53,0,0,0,0
sley,t7007-show.sh,FAIL,1,10,8,0,0,18,18,0,0,0,0
sley,t7061-wtstatus-ignore.sh,PASS,0,25,0,0,0,25,25,0,0,0,0
sley,t7105-reset-patch.sh,FAIL,1,6,7,0,0,13,13,0,0,0,0
sley,t7300-clean.sh,PASS,0,52,0,2,1,55,55,0,0,0,0
sley,t7408-submodule-reference.sh,FAIL,1,15,1,0,0,16,16,0,0,0,0
sley,t7418-submodule-sparse-gitmodules.sh,PASS,0,9,0,0,0,9,9,0,0,0,0
sley,t7426-submodule-get-default-remote.sh,FAIL,1,4,11,0,0,15,15,0,0,0,0
sley,t7506-status-submodule.sh,FAIL,1,38,2,0,0,40,40,0,0,0,0
sley,t7514-commit-patch.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t7524-commit-summary.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t7604-merge-custom-message.sh,PASS,0,8,0,0,0,8,8,0,0,0,0
sley,t7612-merge-verify-signatures.sh,PASS,0,0,0,0,16,16,16,0,0,0,0
sley,t7800-difftool.sh,FAIL,1,92,3,0,0,95,95,0,0,0,0
sley,t7817-grep-sparse-checkout.sh,FAIL,1,5,3,0,0,8,8,0,0,0,0
sley,t8007-cat-file-textconv.sh,PASS,0,15,0,0,0,15,15,0,0,0,0
sley,t8015-blame-diff-algorithm.sh,FAIL,1,3,4,0,0,7,7,0,0,0,0
sley,t9302-fast-import-unpack-limit.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t9901-git-web--browse.sh,FAIL,1,0,5,0,0,5,5,0,0,0,0
sley,t0001-init.sh,PASS,0,99,0,0,4,103,103,0,0,0,0
sley,t0009-git-dir-validation.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t0020-crlf.sh,FAIL,1,35,1,0,0,36,36,0,0,0,0
sley,t0028-working-tree-encoding.sh,PASS,0,22,0,0,0,22,22,0,0,0,0
sley,t0041-usage.sh,FAIL,1,10,6,0,0,16,16,0,0,0,0
sley,t0062-revision-walking.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t0090-cache-tree.sh,PASS,0,23,0,0,0,23,23,0,0,0,0
sley,t0202-gettext-perl.sh,PASS,0,1,0,0,0,1,1,0,0,0,0
sley,t0301-credential-cache.sh,PASS,0,52,0,0,0,52,52,0,0,0,0
sley,t0601-reffiles-pack-refs.sh,PASS,0,47,0,0,0,47,47,0,0,0,0
sley,t1001-read-tree-m-2way.sh,FAIL,1,27,2,0,0,29,29,0,0,0,0
sley,t1009-read-tree-new-index.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t1020-subdirectory.sh,PASS,0,15,0,0,0,15,15,0,0,0,0
sley,t1100-commit-tree-options.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
sley,t1307-config-blob.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t1402-check-ref-format.sh,PASS,0,99,0,0,0,99,99,0,0,0,0
sley,t1410-reflog.sh,FAIL,1,40,0,1,0,41,41,0,0,0,0
sley,t1418-reflog-exists.sh,FAIL,1,3,3,0,0,6,6,0,0,0,0
sley,t1451-fsck-buffer.sh,PASS,0,72,0,0,0,72,72,0,0,0,0
