script,command,git_result,sley_result,git_ms,sley_ms,delta_ms,speedup_vs_git,git_ok,git_notok,sley_ok,sley_notok,git_total,sley_total
t1092-sparse-checkout-compatibility.sh,t1092-sparse-checkout-compatibility.sh,FAIL,PASS,209262,194505,-14757,1.076,107,4,111,0,111,111
t5510-fetch.sh,t5510-fetch.sh,FAIL,FAIL,100403,89931,-10472,1.116,228,2,203,27,230,230
t0027-auto-crlf.sh,t0027-auto-crlf.sh,PASS,FAIL,71902,85774,13872,0.838,2600,0,2578,22,2600,2600
t5310-pack-bitmaps.sh,t5310-pack-bitmaps.sh,FAIL,FAIL,26271,62806,36535,0.418,201,36,222,15,237,237
t7112-reset-submodule.sh,t7112-reset-submodule.sh,FAIL,FAIL,24020,61189,37169,0.393,0,82,69,13,82,82
t6120-describe.sh,t6120-describe.sh,FAIL,PASS,11548,59969,48421,0.193,126,7,131,2,133,133
t7004-tag.sh,t7004-tag.sh,PASS,PASS,14071,57623,43552,0.244,231,0,231,0,231,231
t1460-refs-migrate.sh,t1460-refs-migrate.sh,PASS,PASS,19142,57528,38386,0.333,37,0,37,0,37,37
t3404-rebase-interactive.sh,t3404-rebase-interactive.sh,PASS,PASS,44723,57169,12446,0.782,133,0,133,0,133,133
t5572-pull-submodule.sh,t5572-pull-submodule.sh,FAIL,FAIL,16272,54722,38450,0.297,1,68,58,11,69,69
t2013-checkout-submodule.sh,t2013-checkout-submodule.sh,FAIL,FAIL,20658,52832,32174,0.391,6,68,58,16,74,74
t5326-multi-pack-bitmaps.sh,t5326-multi-pack-bitmaps.sh,FAIL,FAIL,37018,52618,15600,0.704,319,38,349,8,357,357
t1800-hook.sh,t1800-hook.sh,PASS,PASS,51308,50703,-605,1.012,92,0,92,0,92,92
t1013-read-tree-submodule.sh,t1013-read-tree-submodule.sh,FAIL,PASS,21559,50301,28742,0.429,0,68,58,10,68,68
t3432-rebase-fast-forward.sh,t3432-rebase-fast-forward.sh,PASS,PASS,44159,50196,6037,0.880,219,6,219,6,225,225
t6423-merge-rename-directories.sh,t6423-merge-rename-directories.sh,PASS,FAIL,54052,45654,-8398,1.184,80,2,73,9,82,82
t3070-wildmatch.sh,t3070-wildmatch.sh,PASS,PASS,40583,45026,4443,0.901,1861,40,1861,40,1901,1901
t5500-fetch-pack.sh,t5500-fetch-pack.sh,FAIL,FAIL,37565,44336,6771,0.847,377,1,366,12,378,378
t6438-submodule-directory-file-conflicts.sh,t6438-submodule-directory-file-conflicts.sh,FAIL,PASS,14618,42935,28317,0.340,0,56,48,8,56,56
t5516-fetch-push.sh,t5516-fetch-push.sh,FAIL,FAIL,87161,42912,-44249,2.031,126,2,111,17,128,128
t2400-worktree-add.sh,t2400-worktree-add.sh,FAIL,PASS,50269,42352,-7917,1.187,228,4,232,0,232,232
t5324-split-commit-graph.sh,t5324-split-commit-graph.sh,FAIL,FAIL,34331,39898,5567,0.860,40,2,27,15,42,42
t3426-rebase-submodule.sh,t3426-rebase-submodule.sh,FAIL,FAIL,9223,37217,27994,0.248,0,29,23,6,29,29
t5411-proc-receive-hook.sh,t5411-proc-receive-hook.sh,FAIL,FAIL,30885,36101,5216,0.856,274,80,271,83,354,354
t5327-multi-pack-bitmaps-rev.sh,t5327-multi-pack-bitmaps-rev.sh,FAIL,PASS,29476,36075,6599,0.817,276,38,314,0,314,314
t9301-fast-import-notes.sh,t9301-fast-import-notes.sh,PASS,FAIL,15583,34598,19015,0.450,17,0,14,3,17,17
t0610-reftable-basics.sh,t0610-reftable-basics.sh,PASS,FAIL,24240,34387,10147,0.705,91,0,88,3,91,91
t7003-filter-branch.sh,t7003-filter-branch.sh,FAIL,FAIL,6832,33726,26894,0.203,9,39,36,12,48,48
t4255-am-submodule.sh,t4255-am-submodule.sh,FAIL,PASS,7829,33475,25646,0.234,0,33,33,0,33,33
t5333-pseudo-merge-bitmaps.sh,t5333-pseudo-merge-bitmaps.sh,PASS,PASS,10049,32932,22883,0.305,24,0,24,0,24,24
t3311-notes-merge-fanout.sh,t3311-notes-merge-fanout.sh,PASS,PASS,21178,31753,10575,0.667,24,0,24,0,24,24
t5702-protocol-v2.sh,t5702-protocol-v2.sh,FAIL,FAIL,576,31712,31136,0.018,0,0,42,43,0,85
t4216-log-bloom.sh,t4216-log-bloom.sh,PASS,PASS,27280,31337,4057,0.871,165,0,165,0,165,165
t5552-skipping-fetch-negotiator.sh,t5552-skipping-fetch-negotiator.sh,PASS,FAIL,32121,28486,-3635,1.128,6,0,0,6,6,6
t1400-update-ref.sh,t1400-update-ref.sh,PASS,PASS,24355,26802,2447,0.909,315,0,315,0,315,315
t1300-config.sh,config,PASS,PASS,24448,24716,268,0.989,516,0,516,0,516,516
t5515-fetch-merge-logic.sh,t5515-fetch-merge-logic.sh,PASS,PASS,26148,24632,-1516,1.062,65,0,65,0,65,65
t5616-partial-clone.sh,t5616-partial-clone.sh,FAIL,FAIL,34033,24287,-9746,1.401,42,5,37,10,47,47
t5601-clone.sh,t5601-clone.sh,FAIL,PASS,23251,24180,929,0.962,108,7,115,0,115,115
t6030-bisect-porcelain.sh,t6030-bisect-porcelain.sh,PASS,PASS,20446,23500,3054,0.870,97,0,97,0,97,97
t4137-apply-submodule.sh,t4137-apply-submodule.sh,FAIL,PASS,9241,22923,13682,0.403,0,28,24,4,28,28
t1701-racy-split-index.sh,t1701-racy-split-index.sh,PASS,PASS,22654,22879,225,0.990,31,0,31,0,31,31
t4018-diff-funcname.sh,t4018-diff-funcname.sh,PASS,FAIL,18591,22488,3897,0.827,291,0,288,3,291,291
t4014-format-patch.sh,t4014-format-patch.sh,PASS,PASS,22054,22359,305,0.986,221,5,226,0,226,226
t5319-multi-pack-index.sh,t5319-multi-pack-index.sh,PASS,PASS,23122,22218,-904,1.041,98,0,98,0,98,98
t5526-fetch-submodules.sh,t5526-fetch-submodules.sh,FAIL,PASS,6811,22217,15406,0.307,1,55,56,0,56,56
t6600-test-reach.sh,t6600-test-reach.sh,PASS,FAIL,23879,21989,-1890,1.086,53,0,44,9,53,53
t3200-branch.sh,t3200-branch.sh,FAIL,PASS,19332,21923,2591,0.882,166,1,167,0,167,167
t7406-submodule-update.sh,t7406-submodule-update.sh,FAIL,FAIL,6221,21660,15439,0.287,3,68,61,10,71,71
t1510-repo-setup.sh,t1510-repo-setup.sh,PASS,PASS,17679,21427,3748,0.825,109,0,109,0,109,109
t0450-txt-doc-vs-help.sh,t0450-txt-doc-vs-help.sh,PASS,PASS,22891,21293,-1598,1.075,845,51,794,0,896,794
t0000-basic.sh,t0000-basic.sh,PASS,FAIL,20151,20445,294,0.986,92,0,88,4,92,92
t3903-stash.sh,t3903-stash.sh,FAIL,PASS,24905,20021,-4884,1.244,142,3,143,2,145,145
t9902-completion.sh,t9902-completion.sh,FAIL,FAIL,17529,18914,1385,0.927,257,6,258,5,263,263
t6300-for-each-ref.sh,t6300-for-each-ref.sh,PASS,FAIL,19201,18809,-392,1.021,429,0,427,2,429,429
t1461-refs-list.sh,t1461-refs-list.sh,PASS,FAIL,16196,18702,2506,0.866,428,0,426,2,428,428
t5318-commit-graph.sh,t5318-commit-graph.sh,FAIL,FAIL,19441,18491,-950,1.051,83,27,98,12,110,110
t5520-pull.sh,t5520-pull.sh,PASS,FAIL,28952,18204,-10748,1.590,80,0,75,5,80,80
t3701-add-interactive.sh,t3701-add-interactive.sh,PASS,PASS,18597,17707,-890,1.050,130,0,130,0,130,130
t1423-ref-backend.sh,t1423-ref-backend.sh,PASS,PASS,13598,17697,4099,0.768,36,0,36,0,36,36
t4150-am.sh,t4150-am.sh,PASS,PASS,17867,17568,-299,1.017,87,0,87,0,87,87
t7400-submodule-basic.sh,t7400-submodule-basic.sh,FAIL,FAIL,9967,17568,7601,0.567,23,101,117,7,124,124
t5302-pack-index.sh,t5302-pack-index.sh,PASS,FAIL,20207,17553,-2654,1.151,36,0,31,5,36,36
