label,script,command,result,elapsed_ms,ok,notok,total,plan_total
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0001-init.sh,init,PASS,9355,103,0,103,103
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1006-cat-file.sh,cat-file,PASS,12008,290,1,291,291
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1430-bad-ref-name.sh,t1430-bad-ref-name.sh,PASS,3217,40,2,42,42
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1506-rev-parse-diagnosis.sh,t1506-rev-parse-diagnosis.sh,PASS,1950,30,0,30,30
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2024-checkout-dwim.sh,t2024-checkout-dwim.sh,PASS,6017,23,0,23,23
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3103-ls-tree-misc.sh,ls-tree,PASS,706,10,0,10,10
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3311-notes-merge-fanout.sh,t3311-notes-merge-fanout.sh,PASS,21178,24,0,24,24
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1700-split-index.sh,t1700-split-index.sh,PASS,3453,29,0,29,29
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1508-at-combinations.sh,t1508-at-combinations.sh,PASS,1856,35,0,35,35
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2030-unresolve-info.sh,t2030-unresolve-info.sh,PASS,5534,14,0,14,14
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4068-diff-symmetric-merge-base.sh,t4068-diff-symmetric-merge-base.sh,PASS,2436,36,0,36,36
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5408-send-pack-stdin.sh,t5408-send-pack-stdin.sh,PASS,2185,10,0,10,10
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5802-connect-helper.sh,t5802-connect-helper.sh,FAIL,1806,6,2,8,8
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0003-attributes.sh,t0003-attributes.sh,PASS,5363,55,0,55,55
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1502-rev-parse-parseopt.sh,t1502-rev-parse-parseopt.sh,PASS,958,37,0,37,37
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3505-cherry-pick-empty.sh,t3505-cherry-pick-empty.sh,PASS,1807,17,0,17,17
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3900-i18n-commit.sh,t3900-i18n-commit.sh,PASS,3467,38,0,38,38
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4101-apply-nonl.sh,t4101-apply-nonl.sh,PASS,694,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4051-diff-function-context.sh,t4051-diff-function-context.sh,PASS,1790,42,0,42,42
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4201-shortlog.sh,t4201-shortlog.sh,PASS,2036,32,0,32,32
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5310-pack-bitmaps.sh,t5310-pack-bitmaps.sh,FAIL,26271,201,36,237,237
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6002-rev-list-bisect.sh,t6002-rev-list-bisect.sh,PASS,6916,53,0,53,53
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6120-describe.sh,t6120-describe.sh,FAIL,11548,126,7,133,133
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7528-signed-commit-ssh.sh,t7528-signed-commit-ssh.sh,PASS,7972,26,3,29,29
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7300-clean.sh,t7300-clean.sh,FAIL,3896,52,3,55,55
git-baseline-v2.55.0-20260710T044412Z-wave-1,t8001-annotate.sh,t8001-annotate.sh,PASS,7327,117,0,117,117
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5303-pack-corruption-resilience.sh,t5303-pack-corruption-resilience.sh,PASS,5128,36,0,36,36
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5811-proto-disable-git.sh,t5811-proto-disable-git.sh,FAIL,470,0,0,0,
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4020-diff-external.sh,t4020-diff-external.sh,PASS,6874,72,0,72,72
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6438-submodule-directory-file-conflicts.sh,t6438-submodule-directory-file-conflicts.sh,FAIL,14618,0,56,56,56
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7800-difftool.sh,t7800-difftool.sh,FAIL,16644,46,49,95,95
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5400-send-pack.sh,t5400-send-pack.sh,PASS,18557,17,0,17,17
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7201-co.sh,t7201-co.sh,PASS,9461,49,0,49,49
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7604-merge-custom-message.sh,t7604-merge-custom-message.sh,PASS,1585,8,0,8,8
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7601-merge-pull-config.sh,t7601-merge-pull-config.sh,FAIL,14097,62,3,65,65
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4128-apply-root.sh,t4128-apply-root.sh,PASS,1313,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4257-am-interactive.sh,t4257-am-interactive.sh,PASS,1357,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0009-git-dir-validation.sh,t0009-git-dir-validation.sh,PASS,909,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0062-revision-walking.sh,t0062-revision-walking.sh,PASS,687,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0613-reftable-write-options.sh,t0613-reftable-write-options.sh,PASS,3331,11,0,11,11
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1009-read-tree-new-index.sh,t1009-read-tree-new-index.sh,PASS,688,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1090-sparse-checkout-scope.sh,t1090-sparse-checkout-scope.sh,PASS,1538,7,0,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1350-config-hooks-path.sh,t1350-config-hooks-path.sh,PASS,1654,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1413-reflog-detach.sh,t1413-reflog-detach.sh,PASS,1541,7,0,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1505-rev-parse-last.sh,t1505-rev-parse-last.sh,PASS,1149,7,0,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-1,t1601-index-bogus.sh,t1601-index-bogus.sh,PASS,554,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t2009-checkout-statinfo.sh,t2009-checkout-statinfo.sh,PASS,1108,3,0,3,3
