label,script,command,result,elapsed_ms,ok,notok,total,plan_total
full-dbbd67e6-20260710T042742Z-wave-1,t0001-init.sh,init,FAIL,8195,102,1,103,103
full-dbbd67e6-20260710T042742Z-wave-1,t1006-cat-file.sh,cat-file,PASS,11706,290,1,291,291
full-dbbd67e6-20260710T042742Z-wave-1,t1430-bad-ref-name.sh,t1430-bad-ref-name.sh,PASS,3711,40,2,42,42
full-dbbd67e6-20260710T042742Z-wave-1,t1506-rev-parse-diagnosis.sh,t1506-rev-parse-diagnosis.sh,PASS,2095,30,0,30,30
full-dbbd67e6-20260710T042742Z-wave-1,t2024-checkout-dwim.sh,t2024-checkout-dwim.sh,FAIL,6029,21,2,23,23
full-dbbd67e6-20260710T042742Z-wave-1,t3103-ls-tree-misc.sh,ls-tree,PASS,715,10,0,10,10
full-dbbd67e6-20260710T042742Z-wave-1,t3311-notes-merge-fanout.sh,t3311-notes-merge-fanout.sh,PASS,31753,24,0,24,24
full-dbbd67e6-20260710T042742Z-wave-1,t1700-split-index.sh,t1700-split-index.sh,PASS,3667,29,0,29,29
full-dbbd67e6-20260710T042742Z-wave-1,t1508-at-combinations.sh,t1508-at-combinations.sh,PASS,2288,35,0,35,35
full-dbbd67e6-20260710T042742Z-wave-1,t2030-unresolve-info.sh,t2030-unresolve-info.sh,PASS,5370,14,0,14,14
full-dbbd67e6-20260710T042742Z-wave-1,t4068-diff-symmetric-merge-base.sh,t4068-diff-symmetric-merge-base.sh,PASS,2649,36,0,36,36
full-dbbd67e6-20260710T042742Z-wave-1,t5408-send-pack-stdin.sh,t5408-send-pack-stdin.sh,PASS,1750,10,0,10,10
full-dbbd67e6-20260710T042742Z-wave-1,t5802-connect-helper.sh,t5802-connect-helper.sh,PASS,1727,8,0,8,8
full-dbbd67e6-20260710T042742Z-wave-1,t0003-attributes.sh,t0003-attributes.sh,PASS,5835,55,0,55,55
full-dbbd67e6-20260710T042742Z-wave-1,t1502-rev-parse-parseopt.sh,t1502-rev-parse-parseopt.sh,PASS,1028,37,0,37,37
full-dbbd67e6-20260710T042742Z-wave-1,t3505-cherry-pick-empty.sh,t3505-cherry-pick-empty.sh,PASS,1763,17,0,17,17
